Denoise for beta=0.01:
After 1 iteration(s): 91.264%
After 2 iteration(s): 91.395%
After 3 iteration(s): 91.395%
After 4 iteration(s): 91.395%
After 5 iteration(s): 91.395%
After 6 iteration(s): 91.395%
After 7 iteration(s): 91.395%
After 8 iteration(s): 91.395%
After 9 iteration(s): 91.395%
After 10 iteration(s): 91.395%
Denoise for beta=0.02:
After 1 iteration(s): 91.418%
After 2 iteration(s): 91.634%
After 3 iteration(s): 91.64%
After 4 iteration(s): 91.64%
After 5 iteration(s): 91.64%
After 6 iteration(s): 91.64%
After 7 iteration(s): 91.64%
After 8 iteration(s): 91.64%
After 9 iteration(s): 91.64%
After 10 iteration(s): 91.64%
Denoise for beta=0.03:
After 1 iteration(s): 91.526%
After 2 iteration(s): 91.885%
After 3 iteration(s): 91.891%
After 4 iteration(s): 91.891%
After 5 iteration(s): 91.891%
After 6 iteration(s): 91.891%
After 7 iteration(s): 91.891%
After 8 iteration(s): 91.891%
After 9 iteration(s): 91.891%
After 10 iteration(s): 91.891%
Denoise for beta=0.04:
After 1 iteration(s): 91.669%
After 2 iteration(s): 92.073%
After 3 iteration(s): 92.091%
After 4 iteration(s): 92.096%
After 5 iteration(s): 92.096%
After 6 iteration(s): 92.096%
After 7 iteration(s): 92.096%
After 8 iteration(s): 92.096%
After 9 iteration(s): 92.096%
After 10 iteration(s): 92.096%
Denoise for beta=0.05:
After 1 iteration(s): 91.783%
After 2 iteration(s): 92.284%
After 3 iteration(s): 92.313%
After 4 iteration(s): 92.307%
After 5 iteration(s): 92.313%
After 6 iteration(s): 92.313%
After 7 iteration(s): 92.313%
After 8 iteration(s): 92.313%
After 9 iteration(s): 92.313%
After 10 iteration(s): 92.313%
Denoise for beta=0.08:
After 1 iteration(s): 92.113%
After 2 iteration(s): 92.969%
After 3 iteration(s): 92.946%
After 4 iteration(s): 92.969%
After 5 iteration(s): 92.969%
After 6 iteration(s): 92.963%
After 7 iteration(s): 92.963%
After 8 iteration(s): 92.963%
After 9 iteration(s): 92.963%
After 10 iteration(s): 92.963%
Denoise for beta=0.1:
After 1 iteration(s): 92.467%
After 2 iteration(s): 93.083%
After 3 iteration(s): 92.786%
After 4 iteration(s): 92.695%
After 5 iteration(s): 92.655%
After 6 iteration(s): 92.655%
After 7 iteration(s): 92.655%
After 8 iteration(s): 92.655%
After 9 iteration(s): 92.655%
After 10 iteration(s): 92.655%
Denoise for beta=0.11:
After 1 iteration(s): 92.581%
After 2 iteration(s): 92.872%
After 3 iteration(s): 92.41%
After 4 iteration(s): 92.17%
After 5 iteration(s): 92.068%
After 6 iteration(s): 92.034%
After 7 iteration(s): 92.016%
After 8 iteration(s): 92.016%
After 9 iteration(s): 92.005%
After 10 iteration(s): 92.005%
Denoise for beta=0.15:
After 1 iteration(s): 92.946%
After 2 iteration(s): 91.03%
After 3 iteration(s): 88.39%
After 4 iteration(s): 86.234%
After 5 iteration(s): 84.592%
After 6 iteration(s): 83.537%
After 7 iteration(s): 82.898%
After 8 iteration(s): 82.47%
After 9 iteration(s): 82.134%
After 10 iteration(s): 81.889%
Denoise for beta=0.2:
After 1 iteration(s): 92.57%
After 2 iteration(s): 85.213%
After 3 iteration(s): 79.534%
After 4 iteration(s): 76.665%
After 5 iteration(s): 74.954%
After 6 iteration(s): 74.013%
After 7 iteration(s): 73.386%
After 8 iteration(s): 72.941%
After 9 iteration(s): 72.656%
After 10 iteration(s): 72.343%
Denoise for beta=0.3:
After 1 iteration(s): 83.434%
After 2 iteration(s): 72.365%
After 3 iteration(s): 69.583%
After 4 iteration(s): 68.761%
After 5 iteration(s): 68.271%
After 6 iteration(s): 68.02%
After 7 iteration(s): 67.655%
After 8 iteration(s): 67.353%
After 9 iteration(s): 67.153%
After 10 iteration(s): 66.942%
Denoise for beta=0.5:
After 1 iteration(s): 57.385%
After 2 iteration(s): 55.355%
After 3 iteration(s): 55.121%
After 4 iteration(s): 55.001%
After 5 iteration(s): 54.87%
After 6 iteration(s): 54.745%
After 7 iteration(s): 54.608%
After 8 iteration(s): 54.511%
After 9 iteration(s): 54.437%
After 10 iteration(s): 54.374%
